time,x,y,z,vx,vy,vz
0,0,0,0,30,30,0
0.01,0.299878,0.299388,0,29.9756,29.8776,0
0.02,0.599513,0.597552,0,29.9513,29.7553,0
0.03,0.898904,0.894493,0,29.9271,29.6331,0
0.04,1.19805,1.19021,0,29.9029,29.5112,0
0.05,1.49696,1.48472,0,29.8789,29.3893,0
0.06,1.79563,1.778,0,29.8549,29.2677,0
0.07,2.09406,2.07007,0,29.8309,29.1462,0
0.08,2.39225,2.36093,0,29.8071,29.0248,0
0.09,2.6902,2.65057,0,29.7833,28.9036,0
0.1,2.98792,2.939,0,29.7597,28.7826,0
0.11,3.2854,3.22622,0,29.7361,28.6617,0
0.12,3.58264,3.51223,0,29.7125,28.5409,0
0.13,3.87965,3.79704,0,29.6891,28.4204,0
0.14,4.17642,4.08064,0,29.6657,28.2999,0
0.15,4.47296,4.36304,0,29.6424,28.1796,0
0.16,4.76927,4.64423,0,29.6192,28.0595,0
0.17,5.06534,4.92423,0,29.596,27.9395,0
0.18,5.36119,5.20302,0,29.5729,27.8196,0
0.19,5.6568,5.48062,0,29.5499,27.6999,0
0.2,5.95219,5.75702,0,29.527,27.5804,0
0.21,6.24734,6.03223,0,29.5041,27.4609,0
0.22,6.54227,6.30624,0,29.4813,27.3417,0
0.23,6.83697,6.57906,0,29.4586,27.2225,0
0.24,7.13144,6.85069,0,29.436,27.1036,0
0.25,7.42569,7.12113,0,29.4134,26.9847,0
0.26,7.71971,7.39039,0,29.3909,26.866,0
0.27,8.01351,7.65846,0,29.3685,26.7475,0
0.28,8.30708,7.92534,0,29.3461,26.629,0
0.29,8.60043,8.19104,0,29.3239,26.5108,0
0.3,8.89356,8.45555,0,29.3016,26.3926,0
0.31,9.18646,8.71889,0,29.2795,26.2746,0
0.32,9.47915,8.98105,0,29.2574,26.1567,0
0.33,9.77161,9.24202,0,29.2354,26.039,0
0.34,10.0639,9.50183,0,29.2135,25.9214,0
0.35,10.3559,9.76045,0,29.1916,25.8039,0
0.36,10.6477,10.0179,0,29.1698,25.6866,0
0.37,10.9393,10.2742,0,29.1481,25.5694,0
0.38,11.2307,10.5293,0,29.1265,25.4524,0
0.39,11.5218,10.7832,0,29.1049,25.3354,0
0.4,11.8128,11.036,0,29.0834,25.2186,0
0.41,12.1035,11.2876,0,29.0619,25.102,0
0.42,12.394,11.538,0,29.0405,24.9854,0
0.43,12.6843,11.7873,0,29.0192,24.869,0
0.44,12.9744,12.0354,0,28.9979,24.7528,0
0.45,13.2642,12.2824,0,28.9768,24.6366,0
0.46,13.5539,12.5282,0,28.9556,24.5206,0
0.47,13.8434,12.7728,0,28.9346,24.4047,0
0.48,14.1326,13.0163,0,28.9136,24.2889,0
0.49,14.4216,13.2586,0,28.8927,24.1733,0
0.5,14.7105,13.4997,0,28.8718,24.0578,0
0.51,14.9991,13.7397,0,28.851,23.9424,0
0.52,15.2875,13.9786,0,28.8303,23.8271,0
0.53,15.5757,14.2163,0,28.8096,23.712,0
0.54,15.8637,14.4528,0,28.789,23.597,0
0.55,16.1515,14.6882,0,28.7685,23.4821,0
0.56,16.439,14.9224,0,28.748,23.3673,0
0.57,16.7264,15.1555,0,28.7276,23.2526,0
0.58,17.0136,15.3875,0,28.7073,23.1381,0
0.59,17.3006,15.6183,0,28.687,23.0237,0
0.6,17.5873,15.848,0,28.6668,22.9094,0
0.61,17.8739,16.0765,0,28.6466,22.7952,0
0.62,18.1603,16.3039,0,28.6265,22.6812,0
0.63,18.4464,16.5301,0,28.6065,22.5672,0
0.64,18.7324,16.7552,0,28.5865,22.4534,0
0.65,19.0182,16.9792,0,28.5666,22.3397,0
0.66,19.3037,17.202,0,28.5468,22.2261,0
0.67,19.5891,17.4237,0,28.527,22.1126,0
0.68,19.8743,17.6443,0,28.5072,21.9993,0
0.69,20.1592,17.8637,0,28.4876,21.886,0
0.7,20.444,18.082,0,28.468,21.7729,0
0.71,20.7286,18.2992,0,28.4484,21.6599,0
0.72,21.013,18.5152,0,28.4289,21.547,0
0.73,21.2972,18.7301,0,28.4095,21.4342,0
0.74,21.5812,18.9439,0,28.3901,21.3215,0
0.75,21.865,19.1565,0,28.3708,21.2089,0
0.76,22.1486,19.3681,0,28.3515,21.0965,0
0.77,22.432,19.5785,0,28.3323,20.9841,0
0.78,22.7152,19.7877,0,28.3132,20.8719,0
0.79,22.9983,19.9959,0,28.2941,20.7597,0
0.8,23.2811,20.2029,0,28.2751,20.6477,0
0.81,23.5638,20.4088,0,28.2561,20.5358,0
0.82,23.8462,20.6136,0,28.2372,20.424,0
0.83,24.1285,20.8173,0,28.2183,20.3123,0
0.84,24.4106,21.0199,0,28.1995,20.2007,0
0.85,24.6925,21.2213,0,28.1808,20.0892,0
0.86,24.9742,21.4217,0,28.1621,19.9778,0
0.87,25.2558,21.6209,0,28.1435,19.8665,0
0.88,25.5371,21.819,0,28.1249,19.7553,0
0.89,25.8183,22.016,0,28.1064,19.6442,0
0.9,26.0992,22.2119,0,28.0879,19.5332,0
0.91,26.38,22.4067,0,28.0695,19.4224,0
0.92,26.6606,22.6003,0,28.0511,19.3116,0
0.93,26.941,22.7929,0,28.0328,19.2009,0
0.94,27.2213,22.9844,0,28.0146,19.0904,0
0.95,27.5013,23.1747,0,27.9964,18.9799,0
0.96,27.7812,23.364,0,27.9782,18.8695,0
0.97,28.0609,23.5521,0,27.9601,18.7592,0
0.98,28.3404,23.7391,0,27.9421,18.6491,0
0.99,28.6197,23.9251,0,27.9241,18.539,0
1,28.8989,24.1099,0,27.9062,18.429,0
1.01,29.1779,24.2937,0,27.8883,18.3191,0
1.02,29.4566,24.4763,0,27.8704,18.2094,0
1.03,29.7353,24.6578,0,27.8527,18.0997,0
1.04,30.0137,24.8383,0,27.8349,17.9901,0
1.05,30.292,25.0177,0,27.8172,17.8806,0
1.06,30.57,25.1959,0,27.7996,17.7712,0
1.07,30.848,25.3731,0,27.782,17.6619,0
1.08,31.1257,25.5491,0,27.7645,17.5527,0
1.09,31.4032,25.7241,0,27.747,17.4435,0
1.1,31.6806,25.898,0,27.7296,17.3345,0
1.11,31.9578,26.0708,0,27.7122,17.2256,0
1.12,32.2349,26.2425,0,27.6949,17.1167,0
1.13,32.5117,26.4132,0,27.6776,17.008,0
1.14,32.7884,26.5827,0,27.6604,16.8993,0
1.15,33.0649,26.7511,0,27.6432,16.7908,0
1.16,33.3413,26.9185,0,27.6261,16.6823,0
1.17,33.6175,27.0848,0,27.609,16.5739,0
1.18,33.8935,27.25,0,27.5919,16.4656,0
1.19,34.1693,27.4141,0,27.575,16.3574,0
1.2,34.445,27.5771,0,27.558,16.2493,0
1.21,34.7205,27.7391,0,27.5411,16.1412,0
1.22,34.9958,27.9,0,27.5243,16.0333,0
1.23,35.2709,28.0598,0,27.5075,15.9254,0
1.24,35.5459,28.2185,0,27.4907,15.8177,0
1.25,35.8208,28.3761,0,27.474,15.71,0
1.26,36.0954,28.5327,0,27.4573,15.6024,0
1.27,36.3699,28.6882,0,27.4407,15.4949,0
1.28,36.6442,28.8426,0,27.4241,15.3874,0
1.29,36.9184,28.9959,0,27.4076,15.2801,0
1.3,37.1924,29.1482,0,27.3911,15.1728,0
1.31,37.4662,29.2994,0,27.3747,15.0657,0
1.32,37.7399,29.4495,0,27.3583,14.9586,0
1.33,38.0134,29.5985,0,27.3419,14.8516,0
1.34,38.2867,29.7465,0,27.3256,14.7446,0
1.35,38.5599,29.8934,0,27.3094,14.6378,0
1.36,38.8329,30.0393,0,27.2932,14.531,0
1.37,39.1058,30.184,0,27.277,14.4243,0
1.38,39.3784,30.3278,0,27.2609,14.3177,0
1.39,39.651,30.4704,0,27.2448,14.2112,0
1.4,39.9233,30.612,0,27.2287,14.1048,0
1.41,40.1955,30.7525,0,27.2127,13.9984,0
1.42,40.4676,30.892,0,27.1968,13.8921,0
1.43,40.7395,31.0303,0,27.1808,13.7859,0
1.44,41.0112,31.1677,0,27.165,13.6798,0
1.45,41.2828,31.3039,0,27.1491,13.5738,0
1.46,41.5542,31.4391,0,27.1333,13.4678,0
1.47,41.8255,31.5733,0,27.1176,13.3619,0
1.48,42.0965,31.7064,0,27.1019,13.2561,0
1.49,42.3675,31.8384,0,27.0862,13.1504,0
1.5,42.6383,31.9694,0,27.0706,13.0447,0
1.51,42.9089,32.0993,0,27.055,12.9391,0
1.52,43.1794,32.2282,0,27.0394,12.8336,0
1.53,43.4497,32.356,0,27.0239,12.7282,0
1.54,43.7198,32.4827,0,27.0084,12.6228,0
1.55,43.9899,32.6084,0,26.993,12.5175,0
1.56,44.2597,32.7331,0,26.9776,12.4123,0
1.57,44.5294,32.8567,0,26.9622,12.3072,0
1.58,44.799,32.9792,0,26.9469,12.2021,0
1.59,45.0683,33.1007,0,26.9316,12.0971,0
1.6,45.3376,33.2212,0,26.9164,11.9922,0
1.61,45.6067,33.3406,0,26.9012,11.8874,0
1.62,45.8756,33.4589,0,26.886,11.7826,0
1.63,46.1444,33.5762,0,26.8709,11.6779,0
1.64,46.413,33.6925,0,26.8558,11.5732,0
1.65,46.6815,33.8077,0,26.8408,11.4687,0
1.66,46.9498,33.9219,0,26.8258,11.3642,0
1.67,47.218,34.035,0,26.8108,11.2598,0
1.68,47.4861,34.147,0,26.7958,11.1554,0
1.69,47.7539,34.2581,0,26.7809,11.0512,0
1.7,48.0217,34.3681,0,26.766,10.9469,0
1.71,48.2893,34.477,0,26.7512,10.8428,0
1.72,48.5567,34.5849,0,26.7364,10.7387,0
1.73,48.824,34.6918,0,26.7216,10.6347,0
1.74,49.0911,34.7976,0,26.7069,10.5308,0
1.75,49.3581,34.9024,0,26.6922,10.4269,0
1.76,49.625,35.0062,0,26.6775,10.3231,0
1.77,49.8917,35.1089,0,26.6629,10.2194,0
1.78,50.1582,35.2105,0,26.6483,10.1157,0
1.79,50.4247,35.3112,0,26.6338,10.0121,0
1.8,50.6909,35.4108,0,26.6192,9.90858,0
1.81,50.957,35.5094,0,26.6047,9.80511,0
1.82,51.223,35.6069,0,26.5903,9.70171,0
1.83,51.4888,35.7034,0,26.5759,9.59837,0
1.84,51.7545,35.7989,0,26.5615,9.4951,0
1.85,52.0201,35.8933,0,26.5471,9.39189,0
1.86,52.2855,35.9867,0,26.5328,9.28875,0
1.87,52.5507,36.0791,0,26.5185,9.18567,0
1.88,52.8158,36.1704,0,26.5042,9.08266,0
1.89,53.0808,36.2607,0,26.49,8.9797,0
1.9,53.3456,36.35,0,26.4758,8.87681,0
1.91,53.6103,36.4383,0,26.4616,8.77399,0
1.92,53.8749,36.5255,0,26.4474,8.67123,0
1.93,54.1393,36.6117,0,26.4333,8.56853,0
1.94,54.4035,36.6969,0,26.4193,8.46589,0
1.95,54.6677,36.781,0,26.4052,8.36331,0
1.96,54.9316,36.8641,0,26.3912,8.2608,0
1.97,55.1955,36.9462,0,26.3772,8.15834,0
1.98,55.4592,37.0273,0,26.3632,8.05595,0
1.99,55.7227,37.1073,0,26.3493,7.95362,0
2,55.9862,37.1864,0,26.3354,7.85135,0
2.01,56.2495,37.2644,0,26.3215,7.74914,0
2.02,56.5126,37.3413,0,26.3077,7.64699,0
2.03,56.7756,37.4173,0,26.2938,7.54489,0
2.04,57.0385,37.4922,0,26.2801,7.44286,0
2.05,57.3012,37.5662,0,26.2663,7.34089,0
2.06,57.5638,37.6391,0,26.2526,7.23898,0
2.07,57.8263,37.7109,0,26.2389,7.13712,0
2.08,58.0886,37.7818,0,26.2252,7.03533,0
2.09,58.3508,37.8517,0,26.2115,6.93359,0
2.1,58.6128,37.9205,0,26.1979,6.83191,0
2.11,58.8747,37.9883,0,26.1843,6.73029,0
2.12,59.1365,38.0551,0,26.1707,6.62873,0
2.13,59.3981,38.1209,0,26.1572,6.52722,0
2.14,59.6596,38.1856,0,26.1437,6.42577,0
2.15,59.921,38.2494,0,26.1302,6.32438,0
2.16,60.1822,38.3121,0,26.1167,6.22305,0
2.17,60.4433,38.3738,0,26.1033,6.12177,0
2.18,60.7043,38.4346,0,26.0898,6.02055,0
2.19,60.9651,38.4943,0,26.0764,5.91938,0
2.2,61.2258,38.5529,0,26.0631,5.81827,0
2.21,61.4864,38.6106,0,26.0497,5.71722,0
2.22,61.7468,38.6673,0,26.0364,5.61622,0
2.23,62.0071,38.7229,0,26.0231,5.51528,0
2.24,62.2673,38.7776,0,26.0098,5.41439,0
2.25,62.5273,38.8312,0,25.9966,5.31356,0
2.26,62.7872,38.8839,0,25.9834,5.21278,0
2.27,63.047,38.9355,0,25.9702,5.11205,0
2.28,63.3066,38.9861,0,25.957,5.01138,0
2.29,63.5661,39.0357,0,25.9438,4.91077,0
2.3,63.8255,39.0843,0,25.9307,4.81021,0
2.31,64.0847,39.1319,0,25.9176,4.7097,0
2.32,64.3439,39.1785,0,25.9045,4.60924,0
2.33,64.6028,39.2241,0,25.8914,4.50884,0
2.34,64.8617,39.2687,0,25.8784,4.4085,0
2.35,65.1204,39.3123,0,25.8653,4.3082,0
2.36,65.379,39.3549,0,25.8523,4.20796,0
2.37,65.6375,39.3964,0,25.8393,4.10777,0
2.38,65.8958,39.437,0,25.8264,4.00763,0
2.39,66.154,39.4766,0,25.8134,3.90755,0
2.4,66.412,39.5152,0,25.8005,3.80752,0
2.41,66.67,39.5527,0,25.7876,3.70754,0
2.42,66.9278,39.5893,0,25.7747,3.60761,0
2.43,67.1855,39.6249,0,25.7619,3.50774,0
2.44,67.443,39.6595,0,25.749,3.40791,0
2.45,67.7005,39.693,0,25.7362,3.30814,0
2.46,67.9578,39.7256,0,25.7234,3.20842,0
2.47,68.2149,39.7572,0,25.7106,3.10875,0
2.48,68.472,39.7878,0,25.6978,3.00913,0
2.49,68.7289,39.8174,0,25.6851,2.90956,0
2.5,68.9857,39.846,0,25.6723,2.81004,0
2.51,69.2423,39.8736,0,25.6596,2.71057,0
2.52,69.4989,39.9002,0,25.6469,2.61115,0
2.53,69.7553,39.9258,0,25.6342,2.51179,0
2.54,70.0116,39.9504,0,25.6216,2.41247,0
2.55,70.2677,39.9741,0,25.6089,2.3132,0
2.56,70.5237,39.9967,0,25.5963,2.21399,0
2.57,70.7796,40.0184,0,25.5837,2.11482,0
2.58,71.0354,40.039,0,25.5711,2.0157,0
2.59,71.2911,40.0587,0,25.5585,1.91664,0
2.6,71.5466,40.0773,0,25.5459,1.81762,0
2.61,71.802,40.095,0,25.5334,1.71865,0
2.62,72.0572,40.1117,0,25.5209,1.61973,0
2.63,72.3124,40.1274,0,25.5084,1.52086,0
2.64,72.5674,40.1421,0,25.4958,1.42204,0
2.65,72.8223,40.1559,0,25.4834,1.32327,0
2.66,73.0771,40.1686,0,25.4709,1.22454,0
2.67,73.3317,40.1803,0,25.4584,1.12587,0
2.68,73.5862,40.1911,0,25.446,1.02724,0
